Well,Well Position,Sample Name,Target Name,Reporter,Quencher,CT,Ct Mean,Automatic Ct Threshold,Ct Threshold
1,A1,000001-2022,Assay1,FAM,NFQ-MGB,28.986,28.782,TRUE,0.04
1,A1,000001-2022,rApoB,VIC,NFQ-MGB,25.207,25.075,FALSE,0.032
2,A2,000001-2022,Assay1,FAM,NFQ-MGB,28.797,28.782,TRUE,0.04
2,A2,000001-2022,rApoB,VIC,NFQ-MGB,25.098,25.075,FALSE,0.032
3,A3,000001-2023,Assay1,FAM,NFQ-MGB,29.955,29.796,TRUE,0.04
3,A3,000001-2023,rApoB,VIC,NFQ-MGB,26.396,26.288,FALSE,0.032
4,A4,000001-2023,Assay1,FAM,NFQ-MGB,29.601,29.796,TRUE,0.04
4,A4,000001-2023,rApoB,VIC,NFQ-MGB,26.16,26.288,FALSE,0.032
5,A5,000001-2024,Assay1,FAM,NFQ-MGB,30.08,30.054,TRUE,0.04
5,A5,000001-2024,rApoB,VIC,NFQ-MGB,26.455,26.364,FALSE,0.032
6,A6,000001-2024,Assay1,FAM,NFQ-MGB,30.312,30.054,TRUE,0.04
6,A6,000001-2024,rApoB,VIC,NFQ-MGB,26.514,26.364,FALSE,0.032
7,A7,000001-2025,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
7,A7,000001-2025,rApoB,VIC,NFQ-MGB,24.979,24.863,FALSE,0.032
8,A8,000001-2025,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
8,A8,000001-2025,rApoB,VIC,NFQ-MGB,24.777,24.863,FALSE,0.032
9,A9,PTC-1-857,Assay1,FAM,NFQ-MGB,24.637,27.638,TRUE,0.04
9,A9,PTC-1-857,rApoB,VIC,NFQ-MGB,24.054,25.505,FALSE,0.032
10,A10,PTC-1-857,Assay1,FAM,NFQ-MGB,24.701,27.638,TRUE,0.04
10,A10,PTC-1-857,rApoB,VIC,NFQ-MGB,24.12,25.505,FALSE,0.032
11,A11,PTC-1-860,Assay1,FAM,NFQ-MGB,30.609,27.638,TRUE,0.04
11,A11,PTC-1-860,rApoB,VIC,NFQ-MGB,26.835,25.505,FALSE,0.032
12,A12,PTC-1-860,Assay1,FAM,NFQ-MGB,30.552,27.638,TRUE,0.04
12,A12,PTC-1-860,rApoB,VIC,NFQ-MGB,26.848,25.505,FALSE,0.032
19,A19,000002-2081,Assay1,FAM,NFQ-MGB,27.169,27.142,TRUE,0.04
19,A19,000002-2081,rApoB,VIC,NFQ-MGB,24.584,24.55,FALSE,0.032
20,A20,000002-2081,Assay1,FAM,NFQ-MGB,27.1,27.142,TRUE,0.04
20,A20,000002-2081,rApoB,VIC,NFQ-MGB,24.544,24.55,FALSE,0.032
21,A21,000002-2082,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
21,A21,000002-2082,rApoB,VIC,NFQ-MGB,26.387,26.413,FALSE,0.032
22,A22,000002-2082,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
22,A22,000002-2082,rApoB,VIC,NFQ-MGB,26.413,26.413,FALSE,0.032
23,A23,000002-2083,Assay1,FAM,NFQ-MGB,27.968,27.963,TRUE,0.04
23,A23,000002-2083,rApoB,VIC,NFQ-MGB,24.594,24.453,FALSE,0.032
24,A24,000002-2083,Assay1,FAM,NFQ-MGB,28.094,27.963,TRUE,0.04
24,A24,000002-2083,rApoB,VIC,NFQ-MGB,24.535,24.453,FALSE,0.032
25,B1,000001-2022,Assay1,FAM,NFQ-MGB,28.717,28.782,TRUE,0.04
25,B1,000001-2023,rApoB,VIC,NFQ-MGB,25.065,25.075,FALSE,0.032
26,B2,000001-2024,Assay1,FAM,NFQ-MGB,28.626,28.782,TRUE,0.04
26,B2,000001-2025,rApoB,VIC,NFQ-MGB,24.929,25.075,FALSE,0.032
27,B3,000001-2023,Assay1,FAM,NFQ-MGB,29.89,29.796,TRUE,0.04
27,B3,000001-2024,rApoB,VIC,NFQ-MGB,26.427,26.288,FALSE,0.032
28,B4,000001-2025,Assay1,FAM,NFQ-MGB,29.738,29.796,TRUE,0.04
28,B4,000001-2026,rApoB,VIC,NFQ-MGB,26.167,26.288,FALSE,0.032
29,B5,000001-2024,Assay1,FAM,NFQ-MGB,29.982,30.054,TRUE,0.04
29,B5,000001-2025,rApoB,VIC,NFQ-MGB,26.272,26.364,FALSE,0.032
30,B6,000001-2026,Assay1,FAM,NFQ-MGB,29.841,30.054,TRUE,0.04
30,B6,000001-2027,rApoB,VIC,NFQ-MGB,26.215,26.364,FALSE,0.032
31,B7,000001-2025,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
31,B7,000001-2026,rApoB,VIC,NFQ-MGB,24.904,24.863,FALSE,0.032
32,B8,000001-2027,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
32,B8,000001-2028,rApoB,VIC,NFQ-MGB,24.792,24.863,FALSE,0.032
33,B9,PTC-1-857,Assay1,FAM,NFQ-MGB,24.523,27.638,TRUE,0.04
33,B9,PTC-1-857,rApoB,VIC,NFQ-MGB,24.114,25.505,FALSE,0.032
34,B10,PTC-1-857,Assay1,FAM,NFQ-MGB,24.869,27.638,TRUE,0.04
34,B10,PTC-1-857,rApoB,VIC,NFQ-MGB,24.23,25.505,FALSE,0.032
35,B11,PTC-1-860,Assay1,FAM,NFQ-MGB,30.714,27.638,TRUE,0.04
35,B11,PTC-1-860,rApoB,VIC,NFQ-MGB,26.917,25.505,FALSE,0.032
36,B12,PTC-1-860,Assay1,FAM,NFQ-MGB,30.502,27.638,TRUE,0.04
36,B12,PTC-1-860,rApoB,VIC,NFQ-MGB,26.922,25.505,FALSE,0.032
43,B19,000002-2081,Assay1,FAM,NFQ-MGB,27.087,27.142,TRUE,0.04
43,B19,000002-2081,rApoB,VIC,NFQ-MGB,24.442,24.55,FALSE,0.032
44,B20,000002-2081,Assay1,FAM,NFQ-MGB,27.212,27.142,TRUE,0.04
44,B20,000002-2081,rApoB,VIC,NFQ-MGB,24.63,24.55,FALSE,0.032
45,B21,000002-2082,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
45,B21,000002-2082,rApoB,VIC,NFQ-MGB,26.324,26.413,FALSE,0.032
46,B22,000002-2082,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
46,B22,000002-2082,rApoB,VIC,NFQ-MGB,26.529,26.413,FALSE,0.032
47,B23,000002-2083,Assay1,FAM,NFQ-MGB,27.966,27.963,TRUE,0.04
47,B23,000002-2083,rApoB,VIC,NFQ-MGB,24.309,24.453,FALSE,0.032
48,B24,000002-2083,Assay1,FAM,NFQ-MGB,27.825,27.963,TRUE,0.04
48,B24,000002-2083,rApoB,VIC,NFQ-MGB,24.373,24.453,FALSE,0.032
49,C1,000002-2084,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
49,C1,000002-2084,rApoB,VIC,NFQ-MGB,25.165,25.228,FALSE,0.032
50,C2,000002-2084,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
50,C2,000002-2084,rApoB,VIC,NFQ-MGB,25.217,25.228,FALSE,0.032
51,C3,000002-2085,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
51,C3,000002-2085,rApoB,VIC,NFQ-MGB,26.149,26.151,FALSE,0.032
52,C4,000002-2085,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
52,C4,000002-2085,rApoB,VIC,NFQ-MGB,26.212,26.151,FALSE,0.032
53,C5,000002-2086,Assay1,FAM,NFQ-MGB,27.159,27.125,TRUE,0.04
53,C5,000002-2086,rApoB,VIC,NFQ-MGB,24.475,24.437,FALSE,0.032
54,C6,000002-2086,Assay1,FAM,NFQ-MGB,27.095,27.125,TRUE,0.04
54,C6,000002-2086,rApoB,VIC,NFQ-MGB,24.449,24.437,FALSE,0.032
55,C7,000002-2087,Assay1,FAM,NFQ-MGB,27.684,27.64,TRUE,0.04
55,C7,000002-2087,rApoB,VIC,NFQ-MGB,25.032,24.838,FALSE,0.032
56,C8,000002-2087,Assay1,FAM,NFQ-MGB,27.263,27.64,TRUE,0.04
56,C8,000002-2087,rApoB,VIC,NFQ-MGB,24.692,24.838,FALSE,0.032
59,C11,000001-2026,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
59,C11,000001-2026,rApoB,VIC,NFQ-MGB,25.494,24.99,FALSE,0.032
60,C12,000001-2026,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
60,C12,000001-2026,rApoB,VIC,NFQ-MGB,24.73,24.99,FALSE,0.032
61,C13,000001-2027,Assay1,FAM,NFQ-MGB,25.412,24.78,TRUE,0.04
61,C13,000001-2027,rApoB,VIC,NFQ-MGB,24.637,23.889,FALSE,0.032
62,C14,000001-2027,Assay1,FAM,NFQ-MGB,24.269,24.78,TRUE,0.04
62,C14,000001-2027,rApoB,VIC,NFQ-MGB,23.369,23.889,FALSE,0.032
63,C15,000001-2028,Assay1,FAM,NFQ-MGB,24.247,24.06,TRUE,0.04
63,C15,000001-2028,rApoB,VIC,NFQ-MGB,24.226,23.953,FALSE,0.032
64,C16,000001-2028,Assay1,FAM,NFQ-MGB,23.803,24.06,TRUE,0.04
64,C16,000001-2028,rApoB,VIC,NFQ-MGB,23.724,23.953,FALSE,0.032
65,C17,000001-2029,Assay1,FAM,NFQ-MGB,23.641,23.272,TRUE,0.04
65,C17,000001-2029,rApoB,VIC,NFQ-MGB,23.66,23.21,FALSE,0.032
66,C18,000001-2029,Assay1,FAM,NFQ-MGB,22.943,23.272,TRUE,0.04
66,C18,000001-2029,rApoB,VIC,NFQ-MGB,22.868,23.21,FALSE,0.032
67,C19,000001-2030,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
67,C19,000001-2030,rApoB,VIC,NFQ-MGB,24.235,24.011,FALSE,0.032
68,C20,000001-2030,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
68,C20,000001-2030,rApoB,VIC,NFQ-MGB,23.863,24.011,FALSE,0.032
69,C21,000001-2031,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
69,C21,000001-2031,rApoB,VIC,NFQ-MGB,24.887,24.802,FALSE,0.032
70,C22,000001-2031,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
70,C22,000001-2031,rApoB,VIC,NFQ-MGB,24.645,24.802,FALSE,0.032
71,C23,000001-2032,Assay1,FAM,NFQ-MGB,24.666,24.567,TRUE,0.04
71,C23,000001-2032,rApoB,VIC,NFQ-MGB,23.807,23.757,FALSE,0.032
72,C24,000001-2032,Assay1,FAM,NFQ-MGB,24.451,24.567,TRUE,0.04
72,C24,000001-2032,rApoB,VIC,NFQ-MGB,23.72,23.757,FALSE,0.032
73,D1,000002-2084,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
73,D1,000002-2084,rApoB,VIC,NFQ-MGB,25.33,25.228,FALSE,0.032
74,D2,000002-2084,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
74,D2,000002-2084,rApoB,VIC,NFQ-MGB,25.198,25.228,FALSE,0.032
75,D3,000002-2085,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
75,D3,000002-2085,rApoB,VIC,NFQ-MGB,26.03,26.151,FALSE,0.032
76,D4,000002-2085,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
76,D4,000002-2085,rApoB,VIC,NFQ-MGB,26.213,26.151,FALSE,0.032
77,D5,000002-2086,Assay1,FAM,NFQ-MGB,27.048,27.125,TRUE,0.04
77,D5,000002-2086,rApoB,VIC,NFQ-MGB,24.464,24.437,FALSE,0.032
78,D6,000002-2086,Assay1,FAM,NFQ-MGB,27.197,27.125,TRUE,0.04
78,D6,000002-2086,rApoB,VIC,NFQ-MGB,24.359,24.437,FALSE,0.032
79,D7,000002-2087,Assay1,FAM,NFQ-MGB,28.121,27.64,TRUE,0.04
79,D7,000002-2087,rApoB,VIC,NFQ-MGB,24.806,24.838,FALSE,0.032
80,D8,000002-2087,Assay1,FAM,NFQ-MGB,27.493,27.64,TRUE,0.04
80,D8,000002-2087,rApoB,VIC,NFQ-MGB,24.82,24.838,FALSE,0.032
83,D11,000001-2026,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
83,D11,000001-2026,rApoB,VIC,NFQ-MGB,24.956,24.99,FALSE,0.032
84,D12,000001-2026,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
84,D12,000001-2026,rApoB,VIC,NFQ-MGB,24.781,24.99,FALSE,0.032
85,D13,000001-2027,Assay1,FAM,NFQ-MGB,24.955,24.78,TRUE,0.04
85,D13,000001-2027,rApoB,VIC,NFQ-MGB,23.971,23.889,FALSE,0.032
86,D14,000001-2027,Assay1,FAM,NFQ-MGB,24.484,24.78,TRUE,0.04
86,D14,000001-2027,rApoB,VIC,NFQ-MGB,23.579,23.889,FALSE,0.032
87,D15,000001-2028,Assay1,FAM,NFQ-MGB,24.308,24.06,TRUE,0.04
87,D15,000001-2028,rApoB,VIC,NFQ-MGB,24.125,23.953,FALSE,0.032
88,D16,000001-2028,Assay1,FAM,NFQ-MGB,23.882,24.06,TRUE,0.04
88,D16,000001-2028,rApoB,VIC,NFQ-MGB,23.74,23.953,FALSE,0.032
89,D17,000001-2029,Assay1,FAM,NFQ-MGB,23.427,23.272,TRUE,0.04
89,D17,000001-2029,rApoB,VIC,NFQ-MGB,23.339,23.21,FALSE,0.032
90,D18,000001-2029,Assay1,FAM,NFQ-MGB,23.078,23.272,TRUE,0.04
90,D18,000001-2029,rApoB,VIC,NFQ-MGB,22.974,23.21,FALSE,0.032
91,D19,000001-2030,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
91,D19,000001-2030,rApoB,VIC,NFQ-MGB,24.081,24.011,FALSE,0.032
92,D20,000001-2030,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
92,D20,000001-2030,rApoB,VIC,NFQ-MGB,23.863,24.011,FALSE,0.032
93,D21,000001-2031,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
93,D21,000001-2031,rApoB,VIC,NFQ-MGB,24.863,24.802,FALSE,0.032
94,D22,000001-2031,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
94,D22,000001-2031,rApoB,VIC,NFQ-MGB,24.814,24.802,FALSE,0.032
95,D23,000001-2032,Assay1,FAM,NFQ-MGB,24.585,24.567,TRUE,0.04
95,D23,000001-2032,rApoB,VIC,NFQ-MGB,23.831,23.757,FALSE,0.032
96,D24,000001-2032,Assay1,FAM,NFQ-MGB,24.566,24.567,TRUE,0.04
96,D24,000001-2032,rApoB,VIC,NFQ-MGB,23.671,23.757,FALSE,0.032
97,E1,000002-2050,Assay1,FAM,NFQ-MGB,26.676,26.768,TRUE,0.04
97,E1,000002-2050,rApoB,VIC,NFQ-MGB,25.81,25.917,FALSE,0.032
98,E2,000002-2050,Assay1,FAM,NFQ-MGB,26.861,26.768,TRUE,0.04
98,E2,000002-2050,rApoB,VIC,NFQ-MGB,25.992,25.917,FALSE,0.032
99,E3,000002-2051,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
99,E3,000002-2051,rApoB,VIC,NFQ-MGB,26.111,25.769,FALSE,0.032
100,E4,000002-2051,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
100,E4,000002-2051,rApoB,VIC,NFQ-MGB,25.7,25.769,FALSE,0.032
101,E5,000002-2052,Assay1,FAM,NFQ-MGB,25.862,25.749,TRUE,0.04
101,E5,000002-2052,rApoB,VIC,NFQ-MGB,25.426,25.204,FALSE,0.032
102,E6,000002-2052,Assay1,FAM,NFQ-MGB,25.617,25.749,TRUE,0.04
102,E6,000002-2052,rApoB,VIC,NFQ-MGB,25.039,25.204,FALSE,0.032
103,E7,000002-2053,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
103,E7,000002-2053,rApoB,VIC,NFQ-MGB,25.106,25.006,FALSE,0.032
104,E8,000002-2053,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
104,E8,000002-2053,rApoB,VIC,NFQ-MGB,24.832,25.006,FALSE,0.032
105,E9,000002-2054,Assay1,FAM,NFQ-MGB,26.725,26.533,TRUE,0.04
105,E9,000002-2054,rApoB,VIC,NFQ-MGB,25.767,25.701,FALSE,0.032
106,E10,000002-2054,Assay1,FAM,NFQ-MGB,26.433,26.533,TRUE,0.04
106,E10,000002-2054,rApoB,VIC,NFQ-MGB,25.527,25.701,FALSE,0.032
107,E11,000002-2055,Assay1,FAM,NFQ-MGB,26.436,26.441,TRUE,0.04
107,E11,000002-2055,rApoB,VIC,NFQ-MGB,25.342,25.604,FALSE,0.032
108,E12,000002-2055,Assay1,FAM,NFQ-MGB,26.458,26.441,TRUE,0.04
108,E12,000002-2055,rApoB,VIC,NFQ-MGB,25.654,25.604,FALSE,0.032
109,E13,000002-2056,Assay1,FAM,NFQ-MGB,26.563,26.331,TRUE,0.04
109,E13,000002-2056,rApoB,VIC,NFQ-MGB,25.713,25.413,FALSE,0.032
110,E14,000002-2056,Assay1,FAM,NFQ-MGB,26.189,26.331,TRUE,0.04
110,E14,000002-2056,rApoB,VIC,NFQ-MGB,25.241,25.413,FALSE,0.032
111,E15,000002-2057,Assay1,FAM,NFQ-MGB,26.594,26.337,TRUE,0.04
111,E15,000002-2057,rApoB,VIC,NFQ-MGB,25.556,25.38,FALSE,0.032
112,E16,000002-2057,Assay1,FAM,NFQ-MGB,26.15,26.337,TRUE,0.04
112,E16,000002-2057,rApoB,VIC,NFQ-MGB,25.245,25.38,FALSE,0.032
113,E17,000002-2058,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
113,E17,000002-2058,rApoB,VIC,NFQ-MGB,25.63,25.415,FALSE,0.032
114,E18,000002-2058,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
114,E18,000002-2058,rApoB,VIC,NFQ-MGB,25.208,25.415,FALSE,0.032
115,E19,000002-2059,Assay1,FAM,NFQ-MGB,25.444,25.297,TRUE,0.04
115,E19,000002-2059,rApoB,VIC,NFQ-MGB,24.649,24.528,FALSE,0.032
116,E20,000002-2059,Assay1,FAM,NFQ-MGB,25.287,25.297,TRUE,0.04
116,E20,000002-2059,rApoB,VIC,NFQ-MGB,24.522,24.528,FALSE,0.032
117,E21,000002-2060,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
117,E21,000002-2060,rApoB,VIC,NFQ-MGB,27.265,27.01,FALSE,0.032
118,E22,000002-2060,Assay1,FAM,NFQ-MGB,Undetermined,,TRUE,0.04
118,E22,000002-2060,rApoB,VIC,NFQ-MGB,26.787,27.01,FALSE,0.032
119,E23,PTC-2-1659,Assay1,FAM,NFQ-MGB,29.3,29.405,TRUE,0.04
119,E23,PTC-2-1659,rApoB,VIC,NFQ-MGB,27.86,27.904,FALSE,0.032
